1 mes: ,3 meses: ,6 meses: ,1 año: 
27257.600000000002,24705.9,18281.2,-35440.5
33644.2,37682.2,97767.8,799096.0
26428.4,25695.100000000002,28972.3,71427.5
25924.100000000002,20463.399999999998,12566.2,5728.0
33913.700000000004,32379.3,28341.9,17739.0
30745.100000000002,22908.5,-5501.0,-154118.2
28370.7,35222.6,65279.9,242824.0
23950.9,21820.8,19801.7,26602.399999999998
